Date,Open,High,Low,Close,Adj Close,Volume
2014-07-31,44.500000,44.770000,43.880001,43.970001,40.767200,1870400
2014-08-01,43.660000,44.549999,43.400002,44.450001,41.212234,1667500
2014-08-04,44.459999,44.820000,43.349998,43.500000,40.331436,1402000
2014-08-05,43.480000,43.970001,42.599998,42.720001,39.608246,2185300
2014-08-06,42.700001,43.259998,42.119999,42.939999,39.812222,1372200
2014-08-07,42.959999,43.340000,42.340000,42.759998,39.645325,1482100
2014-08-08,42.709999,43.270000,41.840000,43.209999,40.062561,1315200
2014-08-11,43.560001,44.200001,43.279999,43.880001,40.683750,1023900
2014-08-12,43.880001,44.189999,43.439999,43.669998,40.489056,955800
2014-08-13,43.799999,44.910000,43.590000,44.669998,41.416218,1025700
2014-08-14,44.840000,45.270000,44.389999,45.200001,41.907604,1338000
2014-08-15,45.439999,45.669998,44.970001,45.459999,42.265545,1184100
2014-08-18,45.840000,47.080002,45.770000,47.009998,43.706627,1480200
2014-08-19,47.180000,47.189999,46.360001,46.799999,43.511383,931200
2014-08-20,46.820000,47.360001,46.740002,47.139999,43.827496,1042200
2014-08-21,47.230000,47.290001,46.000000,46.029999,42.795494,1214800
2014-08-22,46.150002,46.740002,45.869999,46.490002,43.223175,1015600
2014-08-25,46.990002,47.090000,46.200001,46.889999,43.595070,756600
2014-08-26,46.959999,47.119999,46.230000,46.279999,43.027927,774400
2014-08-27,46.410000,46.660000,46.020000,46.500000,43.232471,575600
2014-08-28,46.209999,46.939999,46.029999,46.529999,43.260372,695900
2014-08-29,46.720001,46.790001,46.119999,46.340000,43.083714,577800
2014-09-02,46.340000,48.250000,46.320000,48.240002,44.850201,1610300
2014-09-03,48.049999,48.049999,47.110001,47.540001,44.199394,1023100
2014-09-04,47.680000,48.209999,47.490002,47.630001,44.283073,1016000
2014-09-05,47.020000,47.220001,46.330002,47.139999,43.827496,905700
2014-09-08,47.270000,47.549999,47.060001,47.330002,44.004162,888400
2014-09-09,47.080002,47.590000,46.540001,46.599998,43.325443,825100
2014-09-10,46.810001,47.700001,46.410000,47.490002,44.152905,811600
2014-09-11,47.549999,47.849998,46.970001,47.360001,44.032043,769400
2014-09-12,47.430000,47.639999,47.009998,47.270000,43.948364,987200
2014-09-15,47.279999,47.310001,46.209999,46.259998,43.009331,894600
2014-09-16,46.220001,47.080002,45.700001,46.750000,43.464901,1335500
2014-09-17,46.799999,47.150002,45.869999,46.160000,42.916363,833900
2014-09-18,46.360001,46.880001,46.160000,46.840000,43.548592,642400
2014-09-19,46.860001,46.990002,46.180000,46.220001,42.972153,1466400
2014-09-22,46.250000,46.310001,45.180000,45.209999,42.033119,1031600
2014-09-23,44.840000,45.160000,44.080002,44.099998,41.001110,1188100
2014-09-24,44.139999,45.049999,43.919998,44.840000,41.689114,872800
2014-09-25,44.570000,44.730000,43.709999,43.720001,40.647820,947400
2014-09-26,43.820000,44.540001,43.599998,44.419998,41.298626,970400
2014-09-29,43.790001,44.320000,43.549999,43.849998,40.768684,1067000
2014-09-30,43.830002,44.080002,43.189999,43.540001,40.480465,1353200
2014-10-01,43.139999,43.169998,42.209999,42.740002,39.736687,1695600
2014-10-02,42.880001,43.540001,42.080002,42.919998,39.904030,997100
2014-10-03,43.509998,44.340000,43.320000,44.150002,41.047611,975700
2014-10-06,44.480000,44.599998,43.470001,43.490002,40.433987,671900
2014-10-07,43.150002,43.650002,42.639999,42.799999,39.792461,1554400
2014-10-08,42.799999,43.049999,41.009998,42.860001,39.848255,2582800
2014-10-09,43.250000,43.950001,42.529999,42.680000,39.680901,2433900
2014-10-10,42.570000,43.410000,42.250000,42.459999,39.476364,1956400
2014-10-13,42.360001,43.139999,41.520000,41.580002,38.658195,2459600
2014-10-14,42.020000,43.230000,41.830002,42.689999,39.690189,2024300
2014-10-15,41.779999,43.130001,40.689999,41.990002,39.039387,3095900
2014-10-16,41.490002,43.990002,41.029999,43.799999,40.722202,2136100
2014-10-17,44.509998,45.040001,44.279999,44.700001,41.558956,1553300
2014-10-20,44.700001,46.230000,44.529999,46.220001,42.972153,1941300
